id,studyid,author,year,domain,context,n,x,y,z,data,coefnr,coef,se,xmin,xmax,ymin,ymax,xsd,ysd,interpretation,source,personal,direction,estimation,issue,depv,note,scoef,direction_val,issue_val,depv_val,personal_val,zscore,zscore_abs,scoefsize
12,2,Flavin and Hartney,2015,Education,Teachers in the U.S.,1018,Collective bargaining laws for teachers,Contact: Republicans,0,Cross-sectional,4,-0.261,0.202,0,1,0,1,0.497,0.365,No significant effect of mandatory collective bargaining laws on contact with Republicans,"Table 4, page 907",0,0,Probit,1,2,NA,-0.3553890410958904,None,Education,Political engagement,General,-1.2920792079207921,1.2920792079207921,0.3553890410958904
13,2,Flavin and Hartney,2015,Education,Teachers in the U.S.,638,Collective bargaining laws for teachers,Contact: Other group,1,Cross-sectional,5,4.226,0.472,0,1,0,1,0.497,0.302,A positive effect of mandatory collective bargaining laws on contact with other groups,"Table 4, page 907",0,NA,Probit,1,2,Not a formal interaction test,NA,NA,Education,Political engagement,General,8.953389830508476,8.953389830508476,NA
14,2,Flavin and Hartney,2015,Education,Nonteachers in the U.S.,14809,Collective bargaining laws for teachers,Contact: Other group,1,Cross-sectional,6,0.113,0.068,0,1,0,1,0.497,0.302,No significant effect of mandatory collective bargaining laws on contact with other groups,"Table 4, page 907",0,NA,Probit,1,2,Not a formal interaction test,NA,NA,Education,Political engagement,General,1.6617647058823528,1.6617647058823528,NA
15,2,Flavin and Hartney,2015,Education,Teachers in the U.S.,1152,Collective bargaining laws for teachers,Interest in elections,0,Cross-sectional,7,-0.096,0.147,0,1,0,2,0.497,0.752,No significant effect of mandatory collective bargaining laws on interest in elections,"Table 4, page 907",0,0,Ordered probit,1,2,NA,-0.0634468085106383,None,Education,Political engagement,General,-0.653061224489796,0.653061224489796,0.0634468085106383
16,2,Flavin and Hartney,2015,Education,Teachers in the U.S.,1044,Collective bargaining laws for teachers,Interest in politics,0,Cross-sectional,8,-0.111,0.179,0,1,0,3,0.497,1.004,No significant effect of mandatory collective bargaining laws on interest in poltics,"Table 4, page 907",0,0,Ordered probit,1,2,NA,-0.05494721115537849,None,Education,Political engagement,General,-0.6201117318435755,0.6201117318435755,0.05494721115537849
17,3,Barabas,2009,Health care,U.S. representative,1093,"Private investment account program, IRA",Support for privatization policies (Social Security privatization),0,Cross-sectional,1,0.2,0.09,0,1,0,1,NA,NA,Positive effect,"Table 2, page 201",1,1,Probit,3,3,NA,NA,Positive,Health care,Policy attitude,Personal,2.2222222222222223,2.2222222222222223,NA
18,3,Barabas,2009,Health care,U.S. representative,668,"Private investment account program, HSA",Support for privatization policies (Social Security privatization),0,Cross-sectional,2,-0.82,0.42,0,1,0,1,NA,NA,Negative effect,"Table 2, page 201",1,-1,Probit,3,3,NA,NA,Negative,Health care,Policy attitude,Personal,-1.9523809523809523,1.9523809523809523,NA
19,4,Dellmuth and Chalmers,2017,Other,13 EU member states,106823,Human capital investment,Support for the EU,0,Cross-sectional,1,0.148,0.02,0.0818,3.371,-1,1,0.645,0.71,Positive effect,"Table 1, page 10 (FirstView)",0,1,Ordered logit,0,3,NA,0.13445070422535213,Positive,Other,Policy attitude,General,7.3999999999999995,7.3999999999999995,0.13445070422535213
20,4,Dellmuth and Chalmers,2017,Other,13 EU member states,106823,Infrastructure,Support for the EU,0,Cross-sectional,2,0.451,0.03,4e-4,2.205,-1,1,0.397,0.71,Positive effect,"Table 1, page 10 (FirstView)",0,1,Ordered logit,0,3,NA,0.25217887323943666,Positive,Other,Policy attitude,General,15.033333333333335,15.033333333333335,0.25217887323943666
21,4,Dellmuth and Chalmers,2017,Other,13 EU member states,106823,Agriculture,Support for the EU,0,Cross-sectional,3,0.482,0.36,0,0.513,-1,1,0.0516,0.71,Positive effect,"Table 1, page 10 (FirstView)",0,1,Ordered logit,0,3,NA,0.03502985915492958,Positive,Other,Policy attitude,General,1.3388888888888888,1.3388888888888888,0.03502985915492958
22,4,Dellmuth and Chalmers,2017,Other,13 EU member states,106823,Energy,Support for the EU,0,Cross-sectional,4,0.642,0.09,0.0048,1.3,-1,1,0.227,0.71,Positive effect,"Table 1, page 10 (FirstView)",0,1,Ordered logit,0,3,NA,0.20525915492957747,Positive,Other,Policy attitude,General,7.133333333333334,7.133333333333334,0.20525915492957747
23,4,Dellmuth and Chalmers,2017,Other,13 EU member states,106823,Environment,Support for the EU,0,Cross-sectional,5,-0.105,0.43,3e-4,0.13,-1,1,0.0211,0.71,No effect,"Table 1, page 10 (FirstView)",0,0,Ordered logit,0,3,NA,-0.003120422535211268,None,Other,Policy attitude,General,-0.2441860465116279,0.2441860465116279,0.003120422535211268
24,4,Dellmuth and Chalmers,2017,Other,13 EU member states,106050,Human capital investment,Support for the EU,1,Cross-sectional,6,-0.02,0.0049,0.0818,3.371,-1,1,0.645,0.71,"High-skilled increase, lower effect of human capital investment","Table 2, page 11 (FirstView)",0,1,Ordered logit,0,3,Moderator: High-skilled,NA,Positive,Other,Policy attitude,General,-4.081632653061225,4.081632653061225,NA
25,4,Dellmuth and Chalmers,2017,Other,13 EU member states,88859,Infrastructure,Support for the EU,1,Cross-sectional,7,-0.01,0.0049,4e-4,2.205,-1,1,0.397,0.71,"Motorways increase, smaller effect of infrastructure","Table 2, page 11 (FirstView)",0,1,Ordered logit,0,3,Moderator: Motorways,NA,Positive,Other,Policy attitude,General,-2.0408163265306123,2.0408163265306123,NA
26,4,Dellmuth and Chalmers,2017,Other,13 EU member states,78905,Agriculture,Support for the EU,1,Cross-sectional,8,0,0.0049,0,0.513,-1,1,0.0516,0.71,No effect,"Table 2, page 11 (FirstView)",0,0,Ordered logit,0,3,Moderator: Utilised area,NA,None,Other,Policy attitude,General,0,0,NA
27,4,Dellmuth and Chalmers,2017,Other,13 EU member states,103589,Energy,Support for the EU,1,Cross-sectional,9,0.207,0.01,0.0048,1.3,-1,1,0.227,0.71,"Population density increases, smaller effect of energy investment","Table 2, page 11 (FirstView)",0,1,Ordered logit,0,3,Moderator: Population density,NA,Positive,Other,Policy attitude,General,20.7,20.7,NA
28,4,Dellmuth and Chalmers,2017,Other,13 EU member states,103589,Environment,Support for the EU,1,Cross-sectional,10,0,0.0049,3e-4,0.13,-1,1,0.0211,0.71,"Rurality increases, smaller effect of environment investments","Table 2, page 11 (FirstView)",0,1,Ordered logit,0,3,Moderator: Rurality,NA,Positive,Other,Policy attitude,General,0,0,NA
29,5,Fernandez and Jaime-Castillo,2013,Welfare,"27 European countries, representative",18665,"Pension generosity, average replacement rate","Financing of the pension system, lower pensions",0,Cross-sectional,1,0.005,0.015,24.848,63.804,0,1,10.097,NA,No effect,"Table 2, page 809",0,0,Multinomial logit,2,3,NA,NA,None,Social,Policy attitude,General,0.33333333333333337,0.33333333333333337,NA
30,5,Fernandez and Jaime-Castillo,2013,Welfare,"27 European countries, representative",18665,"Pension generosity, average replacement rate","Financing of the pension system, increase contributions",0,Cross-sectional,2,0.018,0.014,24.848,63.804,0,1,10.097,NA,No effect,"Table 2, page 809",0,0,Multinomial logit,2,3,NA,NA,None,Social,Policy attitude,General,1.2857142857142856,1.2857142857142856,NA
31,5,Fernandez and Jaime-Castillo,2013,Welfare,"27 European countries, representative",18665,"Pension generosity, average replacement rate","Financing of the pension system, work longer",0,Cross-sectional,3,0.03,0.018,24.848,63.804,0,1,10.097,NA,No effect,"Table 2, page 809",0,0,Multinomial logit,2,3,NA,NA,None,Social,Policy attitude,General,1.6666666666666667,1.6666666666666667,NA
32,5,Fernandez and Jaime-Castillo,2013,Welfare,"27 European countries, representative",18665,Employee social security contributions as a percentage of GDP,"Financing of the pension system, lower pensions",0,Cross-sectional,4,0.06,0.089,0.3,7.8,0,1,1.886,NA,No effect,"Table 2, page 809",0,0,Multinomial logit,2,3,NA,NA,None,Social,Policy attitude,General,0.6741573033707865,0.6741573033707865,NA
33,5,Fernandez and Jaime-Castillo,2013,Welfare,"27 European countries, representative",18665,Employee social security contributions as a percentage of GDP,"Financing of the pension system, increase contributions",0,Cross-sectional,5,0.182,0.081,0.3,7.8,0,1,1.886,NA,Positive effect,"Table 2, page 809",0,-1,Multinomial logit,2,3,NA,NA,Negative,Social,Policy attitude,General,2.2469135802469133,2.2469135802469133,NA
34,5,Fernandez and Jaime-Castillo,2013,Welfare,"27 European countries, representative",18665,Employee social security contributions as a percentage of GDP,"Financing of the pension system, work longer",0,Cross-sectional,6,0.215,0.108,0.3,7.8,0,1,1.886,NA,Positive effect,"Table 2, page 809",0,-1,Multinomial logit,2,3,NA,NA,Negative,Social,Policy attitude,General,1.9907407407407407,1.9907407407407407,NA
35,5,Fernandez and Jaime-Castillo,2013,Welfare,"27 European countries, representative",18665,Statutory retirement age,"Financing of the pension system, lower pensions",0,Cross-sectional,7,0.114,0.077,59.5,66,0,1,1.912,NA,No effect,"Table 2, page 809",0,0,Multinomial logit,2,3,NA,NA,None,Social,Policy attitude,General,1.4805194805194806,1.4805194805194806,NA
36,5,Fernandez and Jaime-Castillo,2013,Welfare,"27 European countries, representative",18665,Statutory retirement age,"Financing of the pension system, increase contributions",0,Cross-sectional,8,0.135,0.07,59.5,66,0,1,1.912,NA,Positive effect,"Table 2, page 809",0,-1,Multinomial logit,2,3,NA,NA,Negative,Social,Policy attitude,General,1.9285714285714286,1.9285714285714286,NA
37,5,Fernandez and Jaime-Castillo,2013,Welfare,"27 European countries, representative",18665,Statutory retirement age,"Financing of the pension system, work longer",0,Cross-sectional,9,0.162,0.093,59.5,66,0,1,1.912,NA,Positive effect,"Table 2, page 809",0,-1,Multinomial logit,2,3,NA,NA,Negative,Social,Policy attitude,General,1.7419354838709677,1.7419354838709677,NA
38,6,Garritzmann,2015,Education,"17 countries, ISSP",28602,Share of public tertiary education expenditure spent on subsidies,Financing students from low-income families,0,Cross-sectional,1,1.231,NA,NA,NA,0,3,NA,NA,"Positive effect (p=0,04)","Table 2, page 152",0,1,Ordered logit,1,3,NA,NA,Positive,Education,Policy attitude,General,NA,NA,NA
39,6,Garritzmann,2015,Education,"17 countries, ISSP",28069,Share of public subsidy expenditure spent on grants,Financing students from low-income families,0,Cross-sectional,2,1.004,NA,NA,NA,0,3,NA,NA,"Positive effect (p=0,00)","Table 2, page 152",0,1,Ordered logit,1,3,NA,NA,Positive,Education,Policy attitude,General,NA,NA,NA
40,6,Garritzmann,2015,Education,"17 countries, ISSP",27729,Share of higher education costs covered by households,Financing students from low-income families,0,Cross-sectional,3,1.016,NA,NA,NA,0,3,NA,NA,"Positive effect (p=0,00)","Table 2, page 152",0,1,Ordered logit,1,3,NA,NA,Positive,Education,Policy attitude,General,NA,NA,NA
41,6,Garritzmann,2015,Education,"8 countries, ISSP",7778,Share of students benefiting,Financing students from low-income families,0,Cross-sectional,4,1.003,NA,NA,NA,0,3,NA,NA,"Positive effect (p=0,00)","Table 2, page 152",0,1,Ordered logit,1,3,NA,NA,Positive,Education,Policy attitude,General,NA,NA,NA
42,6,Garritzmann,2015,Education,"9 countries, ISSP",8659,Share of students receiving grants,Financing students from low-income families,0,Cross-sectional,5,1.002,NA,NA,NA,0,3,NA,NA,"Positive effect (p=0,00)","Table 2, page 152",0,1,Ordered logit,1,3,NA,NA,Positive,Education,Policy attitude,General,NA,NA,NA
43,7,Gingrich and Ansell,2012,Welfare,"18 countries, ISSP",13120,Employment protection legislation,"More government spending, unemployment benefits",1,Cross-sectional,1,-0.088,0.049,NA,NA,0,1,NA,NA,"As EPL increases, skill specificity has less of a positive impact on support for unemployment spending.","Table 1, page 1638",0,NA,Logit,2,3,Moderator: skill specificity,NA,NA,Social,Policy attitude,General,-1.7959183673469385,1.7959183673469385,NA
44,7,Gingrich and Ansell,2012,Welfare,"18 countries, ISSP",13120,Employment protection legislation,"More government spending, unemployment benefits",1,Cross-sectional,2,-0.1,0.089,NA,NA,0,1,NA,NA,No interaction effect,"Table 1, page 1638",0,NA,Logit,2,3,Moderator: university degree,NA,NA,Social,Policy attitude,General,-1.1235955056179776,1.1235955056179776,NA
45,7,Gingrich and Ansell,2012,Welfare,"18 countries, ISSP",13082,Employment protection legislation,"More government spending, industrial aid",1,Cross-sectional,3,-0.091,0.053,NA,NA,0,1,NA,NA,"As EPL increases, skill specificity has less of a positive impact on support for industrial aid spending.","Table 2, page 1639",0,NA,Logit,2,3,Moderator: skill specificity,NA,NA,Social,Policy attitude,General,-1.7169811320754718,1.7169811320754718,NA
46,7,Gingrich and Ansell,2012,Welfare,"18 countries, ISSP",13082,Employment protection legislation,"More government spending, industrial aid",1,Cross-sectional,4,0.101,0.089,NA,NA,0,1,NA,NA,No interaction effect,"Table 2, page 1639",0,NA,Logit,2,3,Moderator: university degree,NA,NA,Social,Policy attitude,General,1.1348314606741574,1.1348314606741574,NA
47,7,Gingrich and Ansell,2012,Health care,"18 countries, ISSP",13350,Single payer system,"More government spending, health care",1,Cross-sectional,5,-0.194,0.079,0,1,0,1,NA,NA,"In single payer systems, skill specificity has less impact on support for health care spending.","Table 3, page 1640",0,NA,Logit,3,3,Moderator: university degree,NA,NA,Health care,Policy attitude,General,-2.4556962025316458,2.4556962025316458,NA
48,7,Gingrich and Ansell,2012,Health care,"18 countries, ISSP",13350,Single payer system,"More government spending, health care",1,Cross-sectional,6,-0.326,0.113,0,1,0,1,NA,NA,"In single payer systems, university degree has less impact on support for health care spending.","Table 3, page 1640",0,NA,Logit,3,3,Moderator: university degree,NA,NA,Health care,Policy attitude,General,-2.8849557522123894,2.8849557522123894,NA
49,8,Guo and Ting,2015,Welfare,"China, urban representative",5234,Social insurance coverage,"Turnout, congress deputy election",0,Cross-sectional,1,0.098,0.02,0,7,0,1,2.26,0.47,Positive effect,"Table 4, page 240",1,1,Logit,2,2,NA,0.4712340425531915,Positive,Social,Political engagement,Personal,4.9,4.9,0.4712340425531915
50,8,Guo and Ting,2015,Welfare,"China, urban representative",5234,Social insurance coverage,"Turnout, residence committee election",0,Cross-sectional,2,0.061,0.021,0,7,0,1,2.26,0.45,Positive effect,"Table 5, page 241",1,1,Logit,2,2,NA,0.3063555555555555,Positive,Social,Political engagement,Personal,2.9047619047619047,2.9047619047619047,0.3063555555555555
51,9,Haselwerdt and Bartels,2015,Welfare,"U.S., representative",892,Tax expenditure policy tool,"Program approval, housing",0,Experiment,1,2.01,0.11,0,1,0,6,0.5,2.05,Positive effect (baseline: cash policy tool),"Table 1, page 616",0,1,OLS,2,3,NA,0.4902439024390244,Positive,Social,Policy attitude,General,18.27272727272727,18.27272727272727,0.4902439024390244
52,9,Haselwerdt and Bartels,2015,Other,"U.S., representative",916,Tax expenditure policy tool,"Program approval, job training",0,Experiment,2,0.5,0.11,0,1,0,6,0.5,1.753,Positive effect (baseline: cash policy tool),"Table 1, page 616",0,1,OLS,0,3,NA,0.14261266400456363,Positive,Other,Policy attitude,General,4.545454545454546,4.545454545454546,0.14261266400456363
53,9,Haselwerdt and Bartels,2015,Welfare,"U.S., representative",919,Tax expenditure policy tool,"Program approval, parental leave",0,Experiment,3,0.82,0.11,0,1,0,6,0.5,1.958,Positive effect (baseline: cash policy tool),"Table 1, page 616",0,1,OLS,2,3,NA,0.20939734422880488,Positive,Social,Policy attitude,General,7.454545454545454,7.454545454545454,0.20939734422880488
54,9,Haselwerdt and Bartels,2015,Welfare,"U.S., representative",892,Tax expenditure policy tool,"Program approval, housing",1,Experiment,4,-0.63,0.22,0,1,0,6,0.5,2.05,Negative interaction,"Table 2, page 616",0,NA,OLS,2,3,Moderator: debt information,NA,NA,Social,Policy attitude,General,-2.8636363636363638,2.8636363636363638,NA
55,9,Haselwerdt and Bartels,2015,Welfare,"U.S., representative",892,Tax expenditure policy tool,"Program approval, housing",1,Experiment,5,-1.48,0.36,0,1,0,6,0.5,2.05,Negative interaction,"Table 2, page 616",0,NA,OLS,2,3,Moderator: ideology,NA,NA,Social,Policy attitude,General,-4.111111111111112,4.111111111111112,NA
56,9,Haselwerdt and Bartels,2015,Other,"U.S., representative",916,Tax expenditure policy tool,"Program approval, job training",1,Experiment,6,-0.29,0.21,0,1,0,6,0.5,1.753,No interaction,"Table 2, page 616",0,NA,OLS,0,3,Moderator: debt information,NA,NA,Other,Policy attitude,General,-1.380952380952381,1.380952380952381,NA
57,9,Haselwerdt and Bartels,2015,Other,"U.S., representative",916,Tax expenditure policy tool,"Program approval, job training",1,Experiment,7,-0.91,0.34,0,1,0,6,0.5,1.753,Negative interaction,"Table 2, page 616",0,NA,OLS,0,3,Moderator: ideology,NA,NA,Other,Policy attitude,General,-2.676470588235294,2.676470588235294,NA
58,9,Haselwerdt and Bartels,2015,Welfare,"U.S., representative",919,Tax expenditure policy tool,"Program approval, parental leave",1,Experiment,8,-0.18,0.22,0,1,0,6,0.5,1.958,No interaction,"Table 2, page 616",0,NA,OLS,2,3,Moderator: debt information,NA,NA,Social,Policy attitude,General,-0.8181818181818181,0.8181818181818181,NA
59,9,Haselwerdt and Bartels,2015,Welfare,"U.S., representative",919,Tax expenditure policy tool,"Program approval, parental leave",1,Experiment,9,-0.38,0.36,0,1,0,6,0.5,1.958,No interaction,"Table 2, page 616",0,NA,OLS,2,3,Moderator: ideology,NA,NA,Social,Policy attitude,General,-1.0555555555555556,1.0555555555555556,NA
60,9,Haselwerdt and Bartels,2015,Welfare,"U.S., representative",892,Tax expenditure policy tool,"Program approval, housing",1,Experiment,10,0.88,0.24,0,1,0,6,0.5,2.05,Positive interaction,"Table 3, page 618",0,NA,OLS,2,3,Moderator: homeowner,NA,NA,Social,Policy attitude,General,3.666666666666667,3.666666666666667,NA
61,9,Haselwerdt and Bartels,2015,Other,"U.S., representative",916,Tax expenditure policy tool,"Program approval, job training",1,Experiment,11,-0.66,0.37,0,1,0,6,0.5,1.958,Negative interaction,"Table 3, page 618",0,NA,OLS,0,3,Moderator: unemployed,NA,NA,Other,Policy attitude,General,-1.783783783783784,1.783783783783784,NA
62,9,Haselwerdt and Bartels,2015,Welfare,"U.S., representative",919,Tax expenditure policy tool,"Program approval, parental leave",1,Experiment,12,0.06,0.28,0,1,0,6,0.5,1.958,No interaction,"Table 3, page 618",0,NA,OLS,2,3,Moderator: children,NA,NA,Social,Policy attitude,General,0.21428571428571425,0.21428571428571425,NA
63,9,Haselwerdt and Bartels,2015,Welfare,"U.S., representative",919,Tax expenditure policy tool,"Program approval, parental leave",1,Experiment,13,-0.58,0.36,0,1,0,6,0.5,1.958,No interaction,"Table 4, page 619",0,NA,OLS,2,3,Moderator: geography,NA,NA,Social,Policy attitude,General,-1.6111111111111112,1.6111111111111112,NA
64,10,Im and Meng,2015,Welfare,"China, representative",2866,Public old-age pension insurance,"Government responsibility, elder care",0,Cross-sectional,1,0.279,0.08,0,1,1,5,NA,NA,Positive effect,"Table 2, page 254",1,1,OLS,2,3,NA,NA,Positive,Social,Policy attitude,Personal,3.4875000000000003,3.4875000000000003,NA
65,10,Im and Meng,2015,Welfare,"China, representative",2866,Public old-age pension insurance,"Government responsibility, compulsory education",0,Cross-sectional,2,0.247,0.8,0,1,1,5,NA,NA,Positive effect,"Table 2, page 254",1,0,OLS,2,3,NA,NA,None,Social,Policy attitude,Personal,0.30874999999999997,0.30874999999999997,NA
66,10,Im and Meng,2015,Welfare,"China, representative",2866,Public old-age pension insurance,"Government responsibility, university education",0,Cross-sectional,3,0.249,0.073,0,1,1,5,NA,NA,Positive effect,"Table 2, page 254",1,1,OLS,2,3,NA,NA,Positive,Social,Policy attitude,Personal,3.4109589041095894,3.4109589041095894,NA
67,10,Im and Meng,2015,Welfare,"China, representative",2866,Public old-age pension insurance,"Government responsibility, health care",0,Cross-sectional,4,0.2,0.068,0,1,1,5,NA,NA,Positive effect,"Table 2, page 254",1,1,OLS,2,3,NA,NA,Positive,Social,Policy attitude,Personal,2.941176470588235,2.941176470588235,NA
68,10,Im and Meng,2015,Welfare,"China, representative",2866,Public old-age pension insurance,"Government responsibility, employment",0,Cross-sectional,5,0.053,0.075,0,1,1,5,NA,NA,No effect,"Table 2, page 254",1,0,OLS,2,3,NA,NA,None,Social,Policy attitude,Personal,0.7066666666666667,0.7066666666666667,NA
69,10,Im and Meng,2015,Welfare,"China, representative",2866,Public old-age pension insurance,"Government responsibility, housing",0,Cross-sectional,6,0.152,0.082,0,1,1,5,NA,NA,No effect,"Table 2, page 254",1,0,OLS,2,3,NA,NA,None,Social,Policy attitude,Personal,1.8536585365853657,1.8536585365853657,NA
70,10,Im and Meng,2015,Welfare,"China, representative",2866,Public old-age pension insurance,"Government responsibility, min standard of living",0,Cross-sectional,7,0.084,0.066,0,1,1,5,NA,NA,No effect,"Table 2, page 254",1,0,OLS,2,3,NA,NA,None,Social,Policy attitude,Personal,1.2727272727272727,1.2727272727272727,NA
71,10,Im and Meng,2015,Welfare,"China, representative",2866,Public old-age pension insurance,"Government responsibility, shrink income gap",0,Cross-sectional,8,0.157,0.081,0,1,1,5,NA,NA,No effect,"Table 2, page 254",1,0,OLS,2,3,NA,NA,None,Social,Policy attitude,Personal,1.9382716049382716,1.9382716049382716,NA
72,10,Im and Meng,2015,Education,"China, representative",2866,Education subsidy district,"Government responsibility, elder care",0,Cross-sectional,9,0.004,0.053,0,1,1,5,NA,NA,No effect,"Table 3, page 254",1,0,OLS,1,3,NA,NA,None,Education,Policy attitude,Personal,0.07547169811320754,0.07547169811320754,NA
73,10,Im and Meng,2015,Education,"China, representative",2866,Education subsidy district,"Government responsibility, compulsory education",0,Cross-sectional,10,0.247,0.053,0,1,1,5,NA,NA,Positive effect,"Table 3, page 254",1,1,OLS,1,3,NA,NA,Positive,Education,Policy attitude,Personal,4.660377358490567,4.660377358490567,NA
74,10,Im and Meng,2015,Education,"China, representative",2866,Education subsidy district,"Government responsibility, university education",0,Cross-sectional,11,0.034,0.049,0,1,1,5,NA,NA,No effect,"Table 3, page 254",1,0,OLS,1,3,NA,NA,None,Education,Policy attitude,Personal,0.6938775510204082,0.6938775510204082,NA
75,10,Im and Meng,2015,Education,"China, representative",2866,Education subsidy district,"Government responsibility, health care",0,Cross-sectional,12,0.114,0.047,0,1,1,5,NA,NA,Positive effect,"Table 3, page 254",1,1,OLS,1,3,NA,NA,Positive,Education,Policy attitude,Personal,2.425531914893617,2.425531914893617,NA
76,10,Im and Meng,2015,Education,"China, representative",2866,Education subsidy district,"Government responsibility, employment",0,Cross-sectional,13,0.004,0.05,0,1,1,5,NA,NA,No effect,"Table 3, page 254",1,0,OLS,1,3,NA,NA,None,Education,Policy attitude,Personal,0.08,0.08,NA
77,10,Im and Meng,2015,Education,"China, representative",2866,Education subsidy district,"Government responsibility, housing",0,Cross-sectional,14,-0.074,0.052,0,1,1,5,NA,NA,No effect,"Table 3, page 254",1,0,OLS,1,3,NA,NA,None,Education,Policy attitude,Personal,-1.4230769230769231,1.4230769230769231,NA
78,10,Im and Meng,2015,Education,"China, representative",2866,Education subsidy district,"Government responsibility, min standard of living",0,Cross-sectional,15,0.022,0.043,0,1,1,5,NA,NA,No effect,"Table 3, page 254",1,0,OLS,1,3,NA,NA,None,Education,Policy attitude,Personal,0.5116279069767442,0.5116279069767442,NA
79,10,Im and Meng,2015,Education,"China, representative",2866,Education subsidy district,"Government responsibility, shrink income gap",0,Cross-sectional,16,0.004,0.051,0,1,1,5,NA,NA,No effect,"Table 3, page 254",1,0,OLS,1,3,NA,NA,None,Education,Policy attitude,Personal,0.07843137254901962,0.07843137254901962,NA
80,10,Im and Meng,2015,Health care,"China, representative",2866,Public health insurance,"Government responsibility, elder care",0,Cross-sectional,17,0.091,0.06,0,1,1,5,NA,NA,No effect,"Table 4, page 255",1,0,OLS,3,3,NA,NA,None,Health care,Policy attitude,Personal,1.5166666666666666,1.5166666666666666,NA
81,10,Im and Meng,2015,Health care,"China, representative",2866,Public health insurance,"Government responsibility, compulsory education",0,Cross-sectional,18,0.056,0.056,0,1,1,5,NA,NA,No effect,"Table 4, page 255",1,0,OLS,3,3,NA,NA,None,Health care,Policy attitude,Personal,1,1,NA
